term,z,n_lower,n_upper
cottage,-25.555362806799092,241.0,1585.0
beautiful,-24.10770074922356,1354.0,3309.0
home,-22.433986274567687,3489.0,6282.0
wonderful,-21.868810976372387,1849.0,3854.0
studio,-17.60601753118346,574.0,1529.0
loved,-15.077041667565874,1285.0,2431.0
lovely,-14.747622317470348,1429.0,2611.0
amazing,-14.526614157513462,1163.0,2214.0
fresh,-13.367520948558521,286.0,808.0
welcome,-13.363037318484812,735.0,1509.0
decorated,-13.316404940378902,319.0,860.0
beautifully,-12.843025078352749,84.0,437.0
absolutely,-12.511304129050183,538.0,1163.0
wine,-12.496207377142186,197.0,617.0
coffee,-12.270621730078895,1497.0,2514.0
appointed,-11.979755862386885,181.0,567.0
garden,-11.76409900882491,373.0,870.0
touches,-11.202339479660944,127.0,442.0
fruit,-11.180089342601498,100.0,394.0
snacks,-11.053282944237665,166.0,503.0
perfect,-10.837807585684615,3104.0,4495.0
thoughtful,-10.77190517440063,184.0,522.0
return,-10.655221482061986,294.0,695.0
delicious,-10.569619087399289,178.0,504.0
recommendations,-10.551859769084253,383.0,828.0
feel,-10.340877821039756,1448.0,2305.0
modern,-10.152373129510684,231.0,574.0
stocked,-9.872682038297318,481.0,942.0
breakfast,-9.685401685746347,590.0,1090.0
thought,-9.526090259181373,248.0,576.0
welcoming,-9.514310127592308,1342.0,2106.0
bottle,-9.500634186288904,107.0,345.0
fabulous,-9.485499945909751,150.0,417.0
best,-9.45140341571724,833.0,1417.0
immaculate,-9.31267708288492,76.0,285.0
baked,-9.199354758824917,22.0,196.0
gorgeous,-9.18646415114356,186.0,465.0
cozy,-9.078659148344553,1367.0,2109.0
private,-9.035392768087508,979.0,1591.0
chocolate,-8.937990876362733,76.0,273.0
oasis,-8.653499948790767,57.0,231.0
better,-8.630817048391803,784.0,1304.0
felt,-8.610715313775872,1183.0,1836.0
muffins,-8.586016935736218,33.0,188.0
local,-8.584955998162156,553.0,983.0
incredible,-8.571838923550784,141.0,371.0
truly,-8.513507652427972,216.0,488.0
designed,-8.458205510023319,33.0,184.0
fantastic,-8.42255477938407,924.0,1481.0
delightful,-8.302507413603108,111.0,313.0
amanda's,-8.100455152200087,8.0,168.0
enjoy,-8.069116247291852,354.0,677.0
peaceful,-8.06520961291697,214.0,469.0
spotless,-7.910949101264877,125.0,324.0
treats,-7.756273080321017,38.0,172.0
goodies,-7.693596344933762,32.0,160.0
incredibly,-7.6912238340732975,277.0,550.0
basket,-7.687373757593251,26.0,150.0
possibly,-7.676997955258644,61.0,210.0
suite,-7.630965091233029,242.0,496.0
milk,-7.597379218180598,30.0,154.0
design,-7.594664306538449,33.0,159.0
inviting,-7.513279031896148,163.0,372.0
experience,-7.491622121628755,2415.0,3321.0
exceeded,-7.457645928726538,50.0,185.0
can't,-7.3768981295000975,351.0,645.0
relaxing,-7.336784257933906,218.0,450.0
suggestions,-7.295119816656047,321.0,599.0
expectations,-7.288007175578149,126.0,307.0
flowers,-7.2525628328902165,89.0,246.0
moment,-7.251143920510063,60.0,197.0
special,-7.208450428149077,105.0,271.0
backyard,-7.189313178009751,186.0,397.0
details,-7.174529493166887,153.0,346.0
fireplace,-7.073037623830287,31.0,142.0
treat,-7.042544102470104,69.0,207.0
john's,-7.031499650647815,11.0,114.0
brownies,-6.989143120333411,3.0,190.0
gem,-6.970949363804556,63.0,195.0
greeted,-6.937865403337515,196.0,404.0
provided,-6.884651050406358,1139.0,1671.0
we'll,-6.812275894893714,87.0,231.0
welcomed,-6.798182343062975,287.0,532.0
hospitality,-6.787680960962213,208.0,417.0
homemade,-6.758732441303935,25.0,124.0
we've,-6.7549383670160426,40.0,150.0
favorite,-6.749890397449776,162.0,347.0
fridge,-6.743447774265173,340.0,605.0
guesthouse,-6.680930310837503,3.0,161.0
comfortable,-6.604553858654765,5082.0,6471.0
i've,-6.598378378197233,179.0,368.0
bread,-6.59504064922406,41.0,148.0
making,-6.520326940601886,393.0,670.0
longer,-6.492121298791401,209.0,409.0
attention,-6.419518392204204,97.0,237.0
wow,-6.408187901828974,28.0,121.0
chickens,-6.40101232009084,13.0,97.0
heated,-6.382805203830558,62.0,179.0
impeccably,-6.344196222666571,10.0,93.0
cookies,-6.341051373290507,34.0,130.0
yogurt,-6.320515866627136,16.0,99.0
deck,-6.28735182175172,228.0,430.0
thoughtfully,-6.250657769053181,30.0,121.0
neighborhood,-6.232309983236241,3709.0,4784.0
