term,mentions_in_sample,generic,covered,aspects
great,4513,False,False,
stay,3772,True,False,
place,3295,True,False,
seattle,2898,False,False,
clean,2134,False,True,cleanliness
location,2117,False,True,location
apartment,1789,True,False,
comfortable,1784,False,True,space_comfort
nice,1694,False,False,
house,1635,True,False,
room,1501,True,False,
home,1476,True,False,
host,1443,False,True,host_communication
easy,1325,False,False,
neighborhood,1296,False,True,location
time,1279,True,False,
perfect,1188,False,False,
really,1187,False,False,
recommend,1187,False,False,
downtown,1167,False,True,location
definitely,1120,False,False,
just,1072,False,False,
space,1022,False,True,space_comfort
quiet,875,False,True,noise
experience,862,True,False,
wonderful,862,False,False,
close,850,False,False,
bed,849,False,True,space_comfort
restaurants,836,False,True,location
staying,836,False,False,
good,828,False,False,
needed,824,False,False,
area,818,True,False,
helpful,762,False,True,host_communication
walk,758,False,True,location
like,705,False,False,
lovely,696,False,False,
friendly,669,False,False,
walking,669,False,True,location
enjoyed,657,False,False,
beautiful,654,False,False,
bus,627,False,True,location
kitchen,621,False,True,space_comfort
city,617,False,True,location
highly,601,False,False,
super,601,False,False,
coffee,600,False,False,
away,584,False,False,
hosts,584,False,True,host_communication
little,575,False,False,
loved,572,False,False,
feel,559,False,False,
airbnb,556,False,False,
cozy,550,False,True,space_comfort
welcoming,546,False,True,host_communication
bathroom,544,False,True,space_comfort
check,538,False,False,
parking,538,False,True,location
night,531,True,False,
right,529,False,False,
convenient,528,False,True,location
distance,506,False,True,location
thanks,504,True,False,
need,498,True,False,
didn,495,False,False,
street,490,False,True,location
stayed,488,False,False,
felt,485,False,False,
amazing,475,False,False,
visit,474,True,False,
accommodating,471,False,True,host_communication
located,465,False,True,location
day,461,True,False,
provided,442,False,False,
short,434,False,False,
trip,432,True,False,
view,424,False,True,location
awesome,416,False,False,
make,409,False,False,
thank,408,True,False,
private,398,False,False,
access,388,False,True,location
did,383,False,False,
exactly,378,False,False,
excellent,373,False,False,
family,373,True,False,
arrived,368,False,True,checkin
sure,367,False,False,
fantastic,359,False,False,
hill,359,False,False,
use,355,False,False,
spacious,351,False,True,space_comfort
welcome,351,False,False,
lots,349,False,False,
shops,341,False,True,location
questions,340,False,False,
gave,337,False,False,
overall,331,False,False,
described,328,False,True,accuracy
places,326,False,False,
quick,325,False,False,
warm,324,False,True,space_comfort
come,323,False,False,
left,320,False,False,
studio,318,True,False,
able,314,False,False,
minutes,311,False,True,location
people,308,True,False,
way,308,True,False,
things,305,False,False,
best,304,False,False,
available,302,False,False,
car,302,False,False,
town,301,False,True,location
ballard,297,False,False,
lot,294,True,False,
extremely,291,False,False,
park,289,False,False,
comfy,287,False,True,space_comfort
small,286,False,False,
arrival,285,False,True,checkin
bars,284,False,True,location
responsive,283,False,True,host_communication
breakfast,280,False,True,space_comfort
safe,279,False,False,
absolutely,276,False,False,
got,276,False,False,
plenty,276,False,False,
quite,276,False,False,
better,272,False,False,
morning,272,True,False,
spot,272,False,False,
amenities,267,False,True,space_comfort
kind,266,False,False,
bit,264,False,False,
looking,261,False,False,
love,260,False,False,
light,257,False,False,
bedroom,255,False,True,space_comfort
cute,252,False,False,
meet,250,False,False,
met,249,False,False,
market,245,False,True,location
water,245,False,False,
want,244,False,False,
lake,243,False,False,
cottage,242,True,False,
minute,235,False,True,location
late,230,False,False,
nearby,230,False,True,location
