neighbourhood_group_cleansed,listings,median_price,mean_rating,mean_price_premium,reviews,z_Cleanliness,z_Location,z_Host communication,z_Check-in / arrival,z_Value for money,z_Accuracy vs listing,z_Noise / disturbance,z_Space / comfort
Ballard,125,92.0,95.424,0.014277480716970487,6706,0.14377726094067525,0.20777806925617054,0.02943087799092806,-0.01115022247313641,0.10052171686987785,0.08340721191865667,0.16704208243688537,0.23691583572371364
Beacon Hill,70,75.0,94.32857142857142,-0.06547223536726884,3111,-0.03378280767701355,-0.7208161215019885,-0.16353902856608926,-0.07332920392384905,0.11845560404878072,-0.09711498032291342,-0.16222684280373595,-0.12501227354153338
Capitol Hill,251,110.0,94.57768924302789,0.023629248037902995,11265,-0.10426331215959174,0.35733194994797407,0.009757353991668447,0.0636806303218263,-0.10397558330016042,-0.021564059173165995,0.010037781920989506,0.013128655298835178
Cascade,29,115.0,94.58620689655173,0.03826198884392078,1239,0.06667429733393972,0.3152235667998082,-0.07225988735780457,0.023079368494255664,-0.44771465598639737,0.26316413635115493,-0.13347829922450605,0.2322547655029091
Central Area,187,90.0,95.27272727272727,-0.018398911782192266,7757,-0.05110386861702276,-0.07274716399539916,0.1542109295356408,0.06158790756559621,0.13060056541595536,0.07672807195492773,0.1690488264985525,0.09307793121836413
Delridge,40,69.5,95.9,-0.07257183593841122,2051,0.22242795571661117,-0.7658917377263635,0.16002371529634865,0.15935880568760188,0.22589011679591534,-0.21888539778846505,0.03915455347308438,0.11180762255334635
Downtown,271,135.0,94.43173431734317,-0.02567785475512956,11628,-0.09283531697936233,-0.02305075732413634,-0.38245265354136776,-0.18983202791877207,-0.3920674955991734,-0.13149329474209973,-0.7200374369519086,-0.36041258178779845
Lake City,28,66.5,94.64285714285714,-0.03797637907365352,894,-0.28755753947498136,-0.4999235447351701,0.14346420829210227,-0.5360575817412644,-0.023599092895824167,-0.4364346155536815,0.2060884698432902,0.0010417791946606986
Magnolia,26,104.5,94.15384615384616,-0.023131425574115575,838,0.030064714568992193,-0.1471016013853979,0.13014897345887866,0.05322615257537018,-0.23713177391347232,-0.28547503814748104,0.3128655922212078,-0.35477141778857546
Northgate,37,80.0,95.86486486486487,0.03873420051371836,1268,0.061344359528489004,-0.4033381493609307,0.2700616099413128,0.1659687753331081,-0.03663612489527547,-0.215571892630298,0.3739019365373242,0.043936150782433146
Other neighborhoods,379,93.0,94.87071240105541,0.002654511590002569,15888,0.17003889898464994,0.15453938008350065,0.14802915333771458,0.08643795398607323,0.2542763077717474,0.06498668969047965,0.18253022365697974,0.1846380979689035
Queen Anne,132,110.0,95.46969696969697,0.013598740734034625,6008,0.0411105902561724,0.213960756364278,-0.11036750969413497,0.0719779806349991,-0.11330997569976724,0.17385538068822506,0.1656655303494489,-0.025102447839058482
Rainier Valley,89,70.0,95.23595505617978,-0.055458129590285114,3811,-0.01555621784411609,-0.4757652134891629,0.1690518537348367,-0.1498094928296031,0.2570892173476257,0.0037663968652576034,0.01276783963398761,0.146692494234778
Seward Park,26,75.0,95.42307692307692,0.0012139933675739652,1118,0.16184333727788291,0.02370509124148833,0.10612535659713022,-0.018167784367958486,-0.1611148224497861,-0.027871540778734223,0.12439597987818651,0.07035792666656154
University District,41,83.0,90.60975609756098,0.042101701704378734,1059,-0.7021021963335391,-0.8599237108116992,-0.5729848366259024,-0.43219573585882415,0.24770815384510722,-0.20698530343009583,-0.6107964924991302,-0.8096686839583914
West Seattle,92,94.0,95.80434782608695,-0.08266838389990294,3007,-0.06284831022715119,-0.010264970871939949,0.24670965239062964,0.2416904176296958,-0.04123147103545594,0.14654148972268038,0.32788283779028526,0.0447395873922621
