month,reviews
2009-06-01,2
2009-07-01,1
2009-08-01,1
2009-09-01,2
2009-10-01,6
2009-11-01,5
2010-01-01,3
2010-02-01,3
2010-03-01,7
2010-04-01,5
2010-05-01,10
2010-06-01,21
2010-07-01,18
2010-08-01,38
2010-09-01,53
2010-10-01,32
2010-11-01,37
2010-12-01,23
2011-01-01,23
2011-02-01,32
2011-03-01,33
2011-04-01,50
2011-05-01,56
2011-06-01,106
2011-07-01,151
2011-08-01,211
2011-09-01,146
2011-10-01,122
2011-11-01,134
2011-12-01,95
2012-01-01,111
2012-02-01,111
2012-03-01,149
2012-04-01,175
2012-05-01,252
2012-06-01,336
2012-07-01,389
2012-08-01,457
2012-09-01,436
2012-10-01,329
2012-11-01,264
2012-12-01,217
2013-01-01,232
2013-02-01,214
2013-03-01,300
2013-04-01,357
2013-05-01,518
2013-06-01,745
2013-07-01,870
2013-08-01,1053
2013-09-01,926
2013-10-01,751
2013-11-01,470
2013-12-01,540
2014-01-01,545
2014-02-01,609
2014-03-01,968
2014-04-01,924
2014-05-01,1215
2014-06-01,1736
2014-07-01,2439
2014-08-01,3194
2014-09-01,3045
2014-10-01,2120
2014-11-01,1719
2014-12-01,1471
2015-01-01,1694
2015-02-01,1619
2015-03-01,2633
2015-04-01,2644
2015-05-01,3675
2015-06-01,5440
2015-07-01,6420
2015-08-01,7781
2015-09-01,6853
2015-10-01,5405
2015-11-01,3915
2015-12-01,3258
2016-01-01,218
